component,attribute,region,investment_period,unit,conversion_commodity,values
electrolyzer_pem_NoCompressor,opexFix,example,example,XX,,0.03
electrolyzer_pem_NoCompressor,opexPerOperation,example,example,XX,,0
electrolyzer_pem_NoCompressor,economicLifetime,world,constant,XX,,10
electrolyzer_pem_NoCompressor,interestRate,example,example,XX,,0.08
electrolyzer_pem_NoCompressor,citation,example,example,XX,,Stolten et. al:
electrolyzer_pem_NoCompressor,commodity,world,constant,XX,,electricity
fossil_electricity,commodity,world,constant,XX,,electricity
fossil_electricity,commodityCost,example,example,XX,,120
fossil_electricity,physicalUnit,world,constant,XX,,GW$_{el}$
geothermal_EGS,investPerCapacity,example,2020,XX,,-1
geothermal_EGS,investPerCapacity,example,2030,XX,,-1
geothermal_EGS,investPerCapacity,example,2040,XX,,-1
geothermal_EGS,investPerCapacity,example,2050,XX,,-1
geothermal_EGS,opexFix,example,example,XX,,0.02
geothermal_EGS,opexPerOperation,example,example,XX,,0
geothermal_EGS,interestRate,example,example,XX,,0.08
geothermal_EGS,economicLifetime,world,constant,XX,,30
geothermal_EGS,commodity,world,constant,XX,,electricity
geothermal_EGS,clearName,example,example,XX,,Enhanced Geothermal
geothermal_EGS,citation,example,example,XX,,d.franzmann
geothermal_EGS,physicalUnit,world,constant,XX,,GW$_{el}$
hydro_specifictype,investPerCapacity,example,2020,XX,,3
hydro_specifictype,investPerCapacity,example,2030,XX,,3
hydro_specifictype,investPerCapacity,example,2040,XX,,3
hydro_specifictype,investPerCapacity,example,2050,XX,,3
hydro_specifictype,opexFix,example,example,XX,,0.017
hydro_specifictype,opexPerOperation,example,example,XX,,0
hydro_specifictype,interestRate,example,example,XX,,0.08
hydro_specifictype,economicLifetime,world,constant,XX,,40
hydro_specifictype,commodity,world,constant,XX,,electricity
hydro_specifictype,GlobEPName,example,example,XX,,tbd
hydro_specifictype,citation,example,example,XX,,e.pena.sanchez@f-juelich.de
hydro_specifictype,comment,example,example,XX,,What is this source?
hydro_specifictype,physicalUnit,world,constant,XX,,GW$_{el}$
hydrogen_gas_demand,commodity,world,constant,XX,,hydrogen_gas
hydrogen_gas_demand,physicalUnit,world,constant,XX,,GW$_{H_{2}
hydrogen_liquid_demand,commodity,world,constant,XX,,hydrogen_liquid
hydrogen_liquid_demand,physicalUnit,world,constant,XX,,GW$_{H_{2}
hydrogen_saltcavern,chargeEfficiency,example,example,XX,,0.98
hydrogen_saltcavern,dischargeEfficiency,example,example,XX,,0.99
hydrogen_saltcavern,cyclicLifetime,example,example,XX,,10000
hydrogen_saltcavern,selfDischarge,example,example,XX,,0
hydrogen_saltcavern,chargeRate,example,example,XX,,1
hydrogen_saltcavern,dischargeRate,example,example,XX,,1
hydrogen_saltcavern,stateOfChargeMin,example,example,XX,,0
hydrogen_saltcavern,stateOfChargeMax,example,example,XX,,1
hydrogen_saltcavern,investPerCapacity,example,2020,XX,,0.0007
hydrogen_saltcavern,investPerCapacity,example,2030,XX,,0.0007
hydrogen_saltcavern,investPerCapacity,example,2040,XX,,0.0007
hydrogen_saltcavern,investPerCapacity,example,2050,XX,,0.0007
hydrogen_saltcavern,opexFix,example,example,XX,,0.02
hydrogen_saltcavern,opexPerChargeOperation,example,example,XX,,0
hydrogen_saltcavern,opexPerDischargeOperation,example,example,XX,,0
hydrogen_saltcavern,interestRate,example,example,XX,,0.08
hydrogen_saltcavern,economicLifetime,world,constant,XX,,40
hydrogen_saltcavern,commodity,world,constant,XX,,hydrogen_gas
hydrogen_saltcavern,citation,example,example,XX,,Stolten et. al:
hydrogen_saltcavern,physicalUnit,world,constant,XX,,GW$_{H_{2}
hydrogenGas_pipeline_offshore,investPerCapacity,example,2020,XX,,0.000469
hydrogenGas_pipeline_offshore,investPerCapacity,example,2030,XX,,0.000469
hydrogenGas_pipeline_offshore,investPerCapacity,example,2040,XX,,0.000469
hydrogenGas_pipeline_offshore,investPerCapacity,example,2050,XX,,0.000469
hydrogenGas_pipeline_offshore,losses,example,example,XX,,0
hydrogenGas_pipeline_offshore,opexFix,example,example,XX,,0.009
hydrogenGas_pipeline_offshore,opexPerOperation,example,example,XX,,0
hydrogenGas_pipeline_offshore,economicLifetime,world,constant,XX,,40
hydrogenGas_pipeline_offshore,interestRate,example,example,XX,,0.08
hydrogenGas_pipeline_offshore,commodity,world,constant,XX,,hydrogen_gas
hydrogenGas_pipeline_offshore,citation,example,example,XX,,See presentation in FINE.Unions Teams folder techno-economic params: Techno-Economic Data for Subsea Pipelines
hydrogenGas_pipeline_offshore,physicalUnit,world,constant,XX,,GW$_{H_{2}
hydrogenGas_pipeline_onshore,investPerCapacity,example,2020,XX,,0.000185
hydrogenGas_pipeline_onshore,investPerCapacity,example,2030,XX,,0.000185
hydrogenGas_pipeline_onshore,investPerCapacity,example,2040,XX,,0.000185
hydrogenGas_pipeline_onshore,investPerCapacity,example,2050,XX,,0.000185
hydrogenGas_pipeline_onshore,losses,example,example,XX,,0
hydrogenGas_pipeline_onshore,opexFix,example,example,XX,,0.005405405
hydrogenGas_pipeline_onshore,opexPerOperation,example,example,XX,,0
hydrogenGas_pipeline_onshore,economicLifetime,world,constant,XX,,40
hydrogenGas_pipeline_onshore,interestRate,example,example,XX,,0.08
hydrogenGas_pipeline_onshore,commodity,world,constant,XX,,hydrogen_gas
hydrogenGas_pipeline_onshore,citation,example,example,XX,,Çağlayan
hydrogenGas_pipeline_onshore,physicalUnit,world,constant,XX,,GW$_{H_{2}
hydrogenGas_vessel,chargeEfficiency,example,example,XX,,0.98
hydrogenGas_vessel,dischargeEfficiency,example,example,XX,,0.99
hydrogenGas_vessel,cyclicLifetime,example,example,XX,,10000
hydrogenGas_vessel,selfDischarge,example,example,XX,,0
hydrogenGas_vessel,chargeRate,example,example,XX,,0.083333333
hydrogenGas_vessel,dischargeRate,example,example,XX,,0.083333333
hydrogenGas_vessel,stateOfChargeMin,example,example,XX,,0.1
hydrogenGas_vessel,stateOfChargeMax,example,example,XX,,1
hydrogenGas_vessel,investPerCapacity,example,2020,XX,,0.018
hydrogenGas_vessel,investPerCapacity,example,2030,XX,,0.018
hydrogenGas_vessel,investPerCapacity,example,2040,XX,,0.018
hydrogenGas_vessel,investPerCapacity,example,2050,XX,,0.018
hydrogenGas_vessel,opexFix,example,example,XX,,0.02
hydrogenGas_vessel,opexPerChargeOperation,example,example,XX,,0
hydrogenGas_vessel,opexPerDischargeOperation,example,example,XX,,0
hydrogenGas_vessel,interestRate,example,example,XX,,0.04
hydrogenGas_vessel,economicLifetime,world,constant,XX,,30
hydrogenGas_vessel,commodity,world,constant,XX,,hydrogen_gas
hydrogenGas_vessel,citation,example,example,XX,,Stolten et. al:
hydrogenGas_vessel,physicalUnit,world,constant,XX,,GW$_{H_{2}
hydrogenLiquid_tank,chargeEfficiency,example,example,XX,,1
hydrogenLiquid_tank,dischargeEfficiency,example,example,XX,,1
hydrogenLiquid_tank,cyclicLifetime,example,example,XX,,10000
hydrogenLiquid_tank,selfDischarge,example,example,XX,,1.25E-05
hydrogenLiquid_tank,chargeRate,example,example,XX,,1
hydrogenLiquid_tank,dischargeRate,example,example,XX,,1
hydrogenLiquid_tank,stateOfChargeMin,example,example,XX,,0
hydrogenLiquid_tank,stateOfChargeMax,example,example,XX,,1
hydrogenLiquid_tank,investPerCapacity,example,2020,XX,,0.00075
hydrogenLiquid_tank,investPerCapacity,example,2030,XX,,0.00075
hydrogenLiquid_tank,investPerCapacity,example,2040,XX,,0.00075
hydrogenLiquid_tank,investPerCapacity,example,2050,XX,,0.00075
hydrogenLiquid_tank,opexFix,example,example,XX,,0.02
hydrogenLiquid_tank,opexPerChargeOperation,example,example,XX,,0
hydrogenLiquid_tank,opexPerDischargeOperation,example,example,XX,,0
hydrogenLiquid_tank,interestRate,example,example,XX,,0.08
hydrogenLiquid_tank,economicLifetime,world,constant,XX,,20
hydrogenLiquid_tank,commodity,world,constant,XX,,hydrogen_liquid
hydrogenLiquid_tank,citation,example,example,XX,,Heuser
hydrogenLiquid_tank,physicalUnit,world,constant,XX,,GW$_{H_{2}
liquefaction,physicalUnit,world,constant,XX,,GW$_{LH_{2}
liquefaction,commodityConversionFactors,example,example,XX,hydrogen_liquid,1
liquefaction,commodityConversionFactors,example,example,XX,electricity,-0.2
liquefaction,commodityConversionFactors,example,example,XX,hydrogen_gas,-1.02
liquefaction,investPerCapacity,example,2020,XX,,1.5
liquefaction,investPerCapacity,example,2030,XX,,1.5
liquefaction,investPerCapacity,example,2040,XX,,1.5
liquefaction,investPerCapacity,example,2050,XX,,1.5
liquefaction,opexFix,example,example,XX,,0.08
liquefaction,opexPerOperation,example,example,XX,,0
liquefaction,interestRate,example,example,XX,,0.08
liquefaction,economicLifetime,world,constant,XX,,20
liquefaction,citation,example,example,XX,,FINE.Infrastructure
liquefaction,comment,example,example,XX,,What is this source?
liquefaction,commodity,world,constant,XX,,hydrogen_gas
ofpv_fixed,investPerCapacity,example,2020,XX,,0.69
ofpv_fixed,investPerCapacity,example,2030,XX,,0.45
ofpv_fixed,investPerCapacity,example,2040,XX,,0.37
ofpv_fixed,investPerCapacity,example,2050,XX,,0.32
ofpv_fixed,opexFix,example,example,XX,,0.017
ofpv_fixed,opexPerOperation,example,example,XX,,0
ofpv_fixed,interestRate,example,example,XX,,0.08
ofpv_fixed,economicLifetime,world,constant,XX,,20
ofpv_fixed,commodity,world,constant,XX,,electricity
ofpv_fixed,citation,example,example,XX,,FINE.NESTOR
ofpv_fixed,physicalUnit,world,constant,XX,,GW$_{el}$
regasification,physicalUnit,world,constant,XX,,GW$_{H_{2}
regasification,commodityConversionFactors,example,example,XX,hydrogen_liquid,-1
regasification,commodityConversionFactors,example,example,XX,electricity,-0.02
regasification,commodityConversionFactors,example,example,XX,hydrogen_gas,1
regasification,investPerCapacity,example,2020,XX,,0.024
regasification,investPerCapacity,example,2030,XX,,0.024
regasification,investPerCapacity,example,2040,XX,,0.024
regasification,investPerCapacity,example,2050,XX,,0.024
regasification,opexFix,example,example,XX,,0.03
regasification,opexPerOperation,example,example,XX,,0
regasification,interestRate,example,example,XX,,0.08
regasification,economicLifetime,world,constant,XX,,10
regasification,citation,example,example,XX,,FINE.Infrastructure
regasification,commodity,world,constant,XX,,hydrogen_gas
rooftoppv,investPerCapacity,example,2020,XX,,1.016
rooftoppv,investPerCapacity,example,2030,XX,,0.774
rooftoppv,investPerCapacity,example,2040,XX,,0.582
rooftoppv,investPerCapacity,example,2050,XX,,0.474
rooftoppv,opexFix,example,example,XX,,0.021
rooftoppv,opexPerOperation,example,example,XX,,0
rooftoppv,interestRate,example,example,XX,,0.04
rooftoppv,economicLifetime,world,constant,XX,,20
rooftoppv,commodity,world,constant,XX,,electricity
rooftoppv,citation,example,example,XX,,FINE.NESTOR
rooftoppv,physicalUnit,world,constant,XX,,GW$_{el}$
testingparams_grid_offshore,investPerCapacity,example,2020,XX,,2
testingparams_grid_offshore,investPerCapacity,example,2030,XX,,2
testingparams_grid_offshore,investPerCapacity,example,2040,XX,,2
testingparams_grid_offshore,investPerCapacity,example,2050,XX,,2
testingparams_grid_offshore,losses,example,example,XX,,0.0002
testingparams_grid_offshore,economicLifetime,world,constant,XX,,10
testingparams_grid_offshore,opexFix,example,example,XX,,0.02
testingparams_grid_offshore,opexPerOperation,example,example,XX,,0.0002
testingparams_grid_offshore,interestRate,example,example,XX,,0.02
testingparams_grid_offshore,commodity,world,constant,XX,,electricity
testingparams_grid_offshore,citation,example,example,XX,,this values are made up for testing
testingparams_grid_offshore,physicalUnit,world,constant,XX,,GW$_{el}$
testingparams_grid_onshore,investPerCapacity,example,2020,XX,,1
testingparams_grid_onshore,investPerCapacity,example,2030,XX,,1
testingparams_grid_onshore,investPerCapacity,example,2040,XX,,1
testingparams_grid_onshore,investPerCapacity,example,2050,XX,,1
testingparams_grid_onshore,losses,example,example,XX,,0.0001
testingparams_grid_onshore,economicLifetime,world,constant,XX,,10
testingparams_grid_onshore,opexFix,example,example,XX,,0.01
testingparams_grid_onshore,opexPerOperation,example,example,XX,,0.0001
testingparams_grid_onshore,interestRate,example,example,XX,,0.01
testingparams_grid_onshore,commodity,world,constant,XX,,electricity
testingparams_grid_onshore,citation,example,example,XX,,this values are made up for testing
testingparams_grid_onshore,physicalUnit,world,constant,XX,,GW$_{el}$
wind_offshore,investPerCapacity,example,2020,XX,,3.92
wind_offshore,investPerCapacity,example,2030,XX,,3.457
wind_offshore,investPerCapacity,example,2040,XX,,2.993
wind_offshore,investPerCapacity,example,2050,XX,,2.53
wind_offshore,opexFix,example,example,XX,,0.025
wind_offshore,opexPerOperation,example,example,XX,,0
wind_offshore,interestRate,example,example,XX,,0.08
wind_offshore,economicLifetime,world,constant,XX,,20
wind_offshore,commodity,world,constant,XX,,electricity
wind_offshore,citation,example,example,XX,,FINE.NESTOR
wind_offshore,physicalUnit,world,constant,XX,,GW$_{el}$
wind_onshore,investPerCapacity,DEU,2020,XX,,1.09
wind_onshore,investPerCapacity,DEU,2030,XX,,0.93
wind_onshore,investPerCapacity,DEU,2040,XX,,0.85
wind_onshore,investPerCapacity,DEU,2050,XX,,0.8
wind_onshore,opexFix,DEU,example,XX,,0.025
wind_onshore,opexPerOperation,DEU,example,XX,,0
wind_onshore,interestRate,DEU,example,XX,,0.08
wind_onshore,economicLifetime,DEU,constant,XX,,20
wind_onshore,commodity,DEU,constant,XX,,electricity
wind_onshore,clearName,DEU,example,XX,,Wind Onshore
wind_onshore,citation,DEU,example,XX,,FINE.NESTOR
wind_onshore,investPerCapacity,BHR,2020,XX,,1.39
wind_onshore,investPerCapacity,BHR,2030,XX,,1.23
wind_onshore,investPerCapacity,BHR,2040,XX,,1.15
wind_onshore,investPerCapacity,BHR,2050,XX,,1.1
wind_onshore,opexFix,BHR,example,XX,,0.025
wind_onshore,opexPerOperation,BHR,example,XX,,0
wind_onshore,economicLifetime,BHR,constant,XX,,20
wind_onshore,commodity,BHR,constant,XX,,electricity
wind_onshore,clearName,BHR,example,XX,,Wind Onshore
wind_onshore,citation,BHR,example,XX,,FINE.NESTOR
wind_onshore,investPerCapacity,example,2020,XX,,1.29
wind_onshore,investPerCapacity,example,2030,XX,,1.13
wind_onshore,investPerCapacity,example,2040,XX,,1.05
wind_onshore,investPerCapacity,example,2050,XX,,1
wind_onshore,opexFix,example,example,XX,,0.025
wind_onshore,opexPerOperation,example,example,XX,,0
wind_onshore,interestRate,example,example,XX,,0.08
wind_onshore,economicLifetime,world,constant,XX,,20
wind_onshore,commodity,world,constant,XX,,electricity
wind_onshore,clearName,example,example,XX,,Wind Onshore
wind_onshore,citation,example,example,XX,,FINE.NESTOR
wind_onshore,physicalUnit,DEU,constant,XX,,GW$_{el}$
wind_onshore,physicalUnit,BHR,constant,XX,,GW$_{el}$
wind_onshore,physicalUnit,world,constant,XX,,GW$_{el}$
battery_LIIon,physicalUnit,world,constant,XX,,GW$_{el}$
ccgt_hydrogenGas,physicalUnit,world,constant,XX,,GW$_{el}$
compressor,physicalUnit,world,constant,XX,,GW$_{H_{2}
csp_he_sf,physicalUnit,world,constant,XX,,GW$_{el}$
csp_he_storage,physicalUnit,world,constant,XX,,GW$_{el}$
csp_ss_sf,physicalUnit,world,constant,XX,,GW$_{el}$
csp_ss_storage,physicalUnit,world,constant,XX,,GW$_{el}$
wind_onshore,interestRate,NTL,constant,XX,,0.6
wind_onshore,interestRate,BHR,constant,XX,,0.09
wind_onshore,interestRate,OMN,constant,XX,,0.07
wind_onshore,interestRate,SAU,constant,XX,,0.07
wind_onshore,interestRate,world,constant,XX,,0.05
